qtype,cleaned_question,cleaned_answer
considerations,kidney stones adults,name
information,anemia chronic kidney disease,anemia condition body fewer red blood cells normal red blood cells carry oxygen tissues organs throughout body enable use energy food anemia red blood cells carry less oxygen tissues organsparticularly heart brainand tissues organs may function well
information,anemia chronic kidney disease,kidneys two beanshaped organs size fist located rib cage one side spine every day kidneys filter quarts blood produce quarts urine healthy kidneys produce hormone called erythropoietin epo hormone chemical produced body released blood help trigger regulate particular body functions epo prompts bone marrow make red blood cells carry oxygen throughout body
causes,causes anemia chronic kidney disease,kidneys diseased damaged make enough epo result bone marrow makes fewer red blood cells causing anemia blood fewer red blood cells deprives body oxygen needs common causes anemia people kidney disease include blood loss hemodialysis low levels following nutrients found food iron vitamin folic acid nutrients necessary red blood cells make hemoglobin main oxygencarrying protein red blood cells treatments kidneyrelated anemia help health care provider look causes anemia including problems bone marrow inflammatory problemssuch arthritis lupus inflammatory bowel diseasein bodys immune system attacks bodys cells organs chronic infections diabetic ulcers malnutrition
symptoms,symptoms anemia chronic kidney disease,signs symptoms anemia someone ckd may include weakness fatigue feeling tired headaches problems concentration paleness dizziness difficulty breathing shortness breath chest pain anyone difficulty breathing shortness breath seek immediate medical care anyone chest pain call
complications,complications anemia chronic kidney disease,heart problems complication anemia may include irregular heartbeat unusually fast heartbeat especially exercising harmful enlargement muscles heart heart failure mean heart suddenly stops working instead heart failure longlasting condition heart cant pump enough blood meet bodys needs
exams and tests,diagnose anemia chronic kidney disease,health care provider diagnoses anemia based medical history physical exam blood tests medical history taking medical history one first things health care provider may diagnose anemia usually ask patients symptoms physical exam physical exam may help diagnose anemia physical exam health care provider usually examines patients body including checking changes skin color blood tests diagnose anemia health care provider may order complete blood count measures type number blood cells body blood test involves drawing patients blood health care providers office commercial facility health care provider carefully monitor amount hemoglobin patients blood one measurements complete blood count kidney disease improving global outcomes anemia work group recommends health care providers diagnose anemia males older age hemoglobin falls grams per deciliter gdl females older falls someone lost least half normal kidney function low hemoglobin cause anemia may decreased epo production two blood tests help measure iron levels ferritin level helps assess amount iron stored body ferritin score nanograms ng per liter may mean person iron deficiency requires transferrin saturation score indicates much iron available make red blood cells transferrin saturation score percent also mean low iron levels require addition blood tests health care provider may order tests tests blood loss stool look causes anemia
treatment,treatments anemia chronic kidney disease,depending cause health care provider treats anemia one following treatments iron first step treating anemia raising low iron levels iron pills may help improve iron hemoglobin levels however patients hemodialysis many studies show pills work well iron given erythropoietin blood tests indicate kidney disease likely cause anemia treatment include injections genetically engineered form epo health care provider often nurse injects patient epo subcutaneously skin needed patients learn inject epo patients hemodialysis may receive epo intravenously hemodialysis studies shown use epo increases chance cardiovascular events heart attack stroke people ckd health care provider carefully review medical history patient determine epo best treatment patients anemia experts recommend using lowest dose epo reduce need red blood cell transfusions additionally health care providers consider use epo patients hemoglobin level gdl health care providers use epo maintain patients hemoglobin level patients receive epo regular blood tests monitor hemoglobin health care provider adjust epo dose level high health care providers discuss benefits risks epo patients many people kidney disease need iron supplements epo raise red blood cell count level reduce need red blood cell transfusions people iron supplements epo improve symptoms anemia red blood cell transfusions patients hemoglobin falls low health care provider may prescribe red blood cell transfusion transfusing red blood cells patients vein raises percentage patients blood consists red blood cells increasing amount oxygen available body vitamin folic acid supplements health care provider may suggest vitamin folic acid supplements people ckd anemia using vitamin supplements treat low levels vitamin folic acid help treat anemia help ensure coordinated safe care people discuss use complementary alternative medical practices including use dietary supplements health care provider read vitamin folic acid medlineplus website wwwnlmnihgovmedlineplus read complementary alternative medicine wwwnccamnihgov
considerations,anemia chronic kidney disease,health care provider may advise people kidney disease anemia caused iron vitamin folic acid deficiencies include sources nutrients diets foods high sodium phosphorus people ckd limit diet making dietary changes people ckd talk health care provider dietitian specializes helping people kidney disease dietitian help person plan healthy meals read nutrition people ckd national kidney disease education program website following chart illustrates good dietary sources iron vitamin folic acid food serving size iron vitamin folic acid recommended daily value mg mcg mcg percent fortified breakfast cereal cup oz mg mcg mcg beans baked cup oz mg mcg mcg beef ground oz mg mcg mcg beef liver oz mg mcg mcg clams fried oz mg mcg mcg spinach boiled cup oz mg mcg mcg spinach fresh cup oz mg mcg mcg trout oz mg mcg mcg tuna canned oz mg mcg mcg
considerations,anemia chronic kidney disease,anemia condition body fewer red blood cells normal red blood cells carry oxygen tissues organs throughout body enable use energy food anemia commonly occurs people chronic kidney disease ckdthe permanent partial loss kidney function people total loss kidney function kidney failure anemia kidneys diseased damaged make enough erythropoietin epo result bone marrow makes fewer red blood cells causing anemia common causes anemia people kidney disease include blood loss hemodialysis low levels following nutrients found food iron vitamin folic acid first step treating anemia raising low iron levels blood tests indicate kidney disease likely cause anemia treatment include injections genetically engineered form epo many people kidney disease need iron supplements epo raise red blood cell count level reduce need red blood cell transfusions health care provider may suggest vitamin folic acid supplements people ckd anemia health care provider may advise people kidney disease anemia caused iron vitamin folic acid deficiencies include sources nutrients diets
information,anemia chronic kidney disease,doctor work together choose treatment thats best publications niddk kidney failure series help learn specific issues face booklets treatment methods kidney failure hemodialysis treatment methods kidney failure peritoneal dialysis treatment methods kidney failure kidney transplantation kidney failure eat right feel right hemodialysis fact sheets kidney failure expect vascular access hemodialysis treatment methods kidney failure hemodialysis hemodialysis dose adequacy peritoneal dialysis dose adequacy amyloidosis kidney disease anemia chronic kidney disease chronic kidney diseasemineral bone disorder financial help treatment kidney failure learning much treatment help make important member health care team content provided service national institute diabetes digestive kidney diseases niddk part national institutes health niddk translates disseminates research findings clearinghouses education programs increase knowledge understanding health disease among patients health professionals public content produced niddk carefully reviewed niddk scientists experts niddk would like thank john c stivelman md emory university school medicine kerri cavanaugh md mhs vanderbilt university information copyrighted niddk encourages people share content freely july
information,lupus nephritis,lupus nephritis kidney inflammation caused systemic lupus erythematosus sle lupus sle autoimmune diseasea disorder bodys immune system attacks bodys cells organs percent people sle diagnosed lupus nephritis lead significant illness even
information,lupus nephritis,kidneys two beanshaped organs size fist located rib cage one side spine every day two kidneys filter blood produce quarts urine composed wastes extra fluid urine flows kidneys bladder tubes called ureters bladder stores urine releasing urination
symptoms,symptoms lupus nephritis,symptoms lupus nephritis may include high blood pressure foamy urine edemaswelling usually legs feet ankles less often hands face kidney problems often develop time shortly lupus symptoms appear include joint pain swelling muscle pain fever known cause red rashes often face also called butterfly rashes shape
exams and tests,diagnose lupus nephritis,lupus nephritis diagnosed urine blood tests kidney biopsy urinalysis urinalysis testing urine sample urine sample collected special container health care providers office commercial facility tested location sent lab analysis test nurse technician places strip chemically treated paper called dipstick urine patches dipstick change color blood protein present high number red blood cells high levels protein urine indicate kidney damage blood test blood test involves drawing blood health care providers office commercial facility sending sample lab analysis blood test show high levels creatinine waste product normal muscle breakdown excreted kidneys increases kidneys functioning well biopsy biopsy procedure involves taking small piece kidney tissue examination microscope biopsy performed health care provider hospital light sedation local anesthetic health care provider uses imaging techniques ultrasound computerized tomography scan guide biopsy needle kidney kidney tissue examined lab pathologista doctor specializes diagnosing diseases test confirm diagnosis lupus nephritis determine far disease progressed guide treatment american college rheumatology recommends biopsies people evidence active lupus nephritis previously treated
treatment,treatments lupus nephritis,lupus nephritis treated medications suppress immune system stops attacking damaging kidneys standard treatment includes corticosteroid usually prednisone reduce inflammation kidneys immunosuppressive medication cyclophosphamide mycophenolate mofetil typically used prednisone medicationswhen taken prescribed health care providerfurther decrease activity immune system block bodys immune cells attacking kidneys directly making antibodies attack kidneys antibodies proteins made immune system protect body foreign substances bacteria viruses hydroxychloroquine medication treating sle also prescribed continued people lupus nephritis people lupus nephritis causing high blood pressure may need take medications lower blood pressure also significantly slow progression kidney disease two types blood pressure lowering medications angiotensinconverting enzyme ace inhibitors angiotensin receptor blockers arbs proven effective slowing progression kidney disease many people require two medications control blood pressure addition ace inhibitor arb diuretica medication helps kidneys remove fluid bodymay prescribed beta blockers calcium channel blockers blood pressure medications may also needed blood pressure written two numbers separated slash said top number called systolic pressure represents pressure heart beats pushes blood blood vessels bottom number called diastolic pressure represents pressure blood vessels relax heartbeats high blood pressure systolic pressure diastolic pressure
complications,complications lupus nephritis,many cases treatment effective completely partially controlling lupus nephritis resulting complications however even treatment percent people lupus nephritis develop kidney failure described endstage renal disease treated bloodfiltering treatments called dialysis kidney scientists cannot predict respond treatment severe form lupus nephritis called diffuse proliferative nephritis type illness kidneys inflamed many white blood cells invade kidneys kidney cells increase number cause severe damage scars form kidneys scars difficult treat kidney function often declines scars form people suspected lupus nephritis get diagnosed treated early possible prevent chronic long lasting damage people lupus nephritis high risk cancer primarily bcell lymphomaa type cancer begins cells immune system also high risk heart blood vessel problems
considerations,lupus nephritis,eating diet nutrition shown play role causing preventing lupus nephritis people kidney disease progresses may need talk health care provider changes may need make diet people lupus nephritis high blood pressure may benefit reducing sodium intake often salt information nutrition people kidney disease provided niddk health topics nutrition early chronic kidney disease adults nutrition advanced chronic kidney disease adults
considerations,lupus nephritis,lupus nephritis kidney inflammation caused systemic lupus erythematosus sle lupus symptoms lupus nephritis may include high blood pressure foamy urine edema lupus nephritis diagnosed urine blood tests kidney biopsy lupus nephritis treated medications suppress immune system stops attacking damaging kidneys standard treatment includes corticosteroid usually prednisone reduce inflammation kidneys immunosuppressive medication cyclophosphamide mycophenolate mofetil typically used prednisone people lupus nephritis causing high blood pressure may need take medications lower blood pressure also significantly slow progression kidney disease many cases treatment effective completely partially controlling lupus nephritis resulting complications however even treatment percent people lupus nephritis develop kidney failure
symptoms,symptoms dermatitis herpetiformis skin manifestation celiac disease health care professionals,dermatitis herpetiformis characterized small clustered papules vesicles erupt symmetrically elbows knees buttocks back scalp face groin also involved burning sensation may precede lesion formation lesions usually scratched time patient comes physical exam rash may appear erosions excoriations patients dh may also experience dental enamel defects permanent teeth another manifestation celiac disease less percent people dh symptoms celiac
causes,causes dermatitis herpetiformis skin manifestation celiac disease health care professionals,dermatitis herpetiformis caused deposit immunoglobulin iga skin triggers immunologic reactions resulting lesion formation dh external manifestation abnormal immune response gluten iga antibodies form skin antigen epidermal transglutaminase family studies show percent firstdegree relatives person dh also dh additional percent firstdegree relatives person dh celiac various autoimmune diseases associated dh common hypothyroidism
exams and tests,diagnose dermatitis herpetiformis skin manifestation celiac disease health care professionals,skin biopsy first step diagnosing dh direct immunofluorescence clinically normal skin adjacent lesion shows granular iga deposits upper dermis histology lesional skin may show microabscesses containing neutrophils eosinophils however histology may reveal excoriation due intense itching patients experience blood tests antiendomysial antitissue transglutaminase antibodies may also suggest celiac disease blood tests epidermal transglutaminase antibodies positive percent tests become negative prolonged adherence glutenfree diet positive biopsy serology confirm dh taken indirect evidence small bowel damage biopsy small bowel usually needed dh diagnosis however clinical signs gastrointestinal disease evident examination workup may whether intestinal damage evident glutenfree diet implemented rash dh gluten
treatment,treatments dermatitis herpetiformis skin manifestation celiac disease health care professionals,sulfone dapsone provide immediate relief symptoms patients cannot tolerate dapsone sulfapyridine sulfamethoxypyridazine may used although medications less effective dapsone strict glutenfree diet treatment underlying disease even glutenfree diet medication therapy may need continued months years dh go remission defined absence skin lesions symptoms dh years taking sulfones treatments adhering glutenfree diet cohort studies showing dh remission provide support reducing sulfone therapy weaning glutenfree diet patients wellcontrolled
information,goodpasture syndrome,goodpasture syndrome pulmonaryrenal syndrome group acute illnesses involving kidneys lungs goodpasture syndrome includes following conditions glomerulonephritisinflammation glomeruli tiny clusters looping blood vessels kidneys help filter wastes extra water blood presence antiglomerular basement membrane gbm antibodies gbm part glomeruli composed collagen proteins bleeding lungs goodpasture syndrome immune cells produce antibodies specific region collagen antibodies attack collagen lungs kidneys ernest goodpasture first described syndrome influenza pandemic reported patient died bleeding lungs kidney failure diagnostic tools confirm goodpasture syndrome available time known whether patient true goodpasture syndrome vasculitis vasculitis autoimmune conditiona disorder bodys immune system attacks bodys cells organsthat involves inflammation blood vessels cause similar lung kidney problems goodpasture syndrome sometimes called antigbm disease however antigbm disease one cause pulmonaryrenal syndromes including goodpasture syndrome goodpasture syndrome fatal unless quickly diagnosed treated
causes,causes goodpasture syndrome,causes goodpasture syndrome fully understood people smoke use hair dyes appear increased risk condition exposure hydrocarbon fumes metallic dust certain drugs cocaine may also raise persons risk genetics may also play part small number cases reported one family member
symptoms,symptoms goodpasture syndrome,symptoms goodpasture syndrome may initially include fatigue nausea vomiting weakness lungs usually affected time kidneys symptoms include shortness breath coughing sometimes blood progression initial symptoms lungs affected may rapid symptoms occur kidneys affected include blood urine foamy urine swelling legs high blood pressure
exams and tests,diagnose goodpasture syndrome,health care provider may order following tests diagnose goodpasture syndrome urinalysis urinalysis testing urine sample urine sample collected special container health care providers office commercial facility tested location sent lab analysis test nurse technician places strip chemically treated paper called dipstick urine patches dipstick change color protein blood present urine high number red blood cells high levels protein urine indicate kidney damage blood test blood test involves drawing blood health care providers office commercial facility sending sample lab analysis blood test show presence antigbm antibodies chest x ray x ray chest performed health care providers office outpatient center hospital xray technician images interpreted radiologista doctor specializes medical imaging abnormalities lungs present seen x ray biopsy biopsy procedure involves taking piece kidney tissue examination microscope biopsy performed health care provider hospital light sedation local anesthetic health care provider uses imaging techniques ultrasound computerized tomography scan guide biopsy needle kidney tissue examined lab pathologista doctor specializes diagnosing diseases test show crescentshaped changes glomeruli lines antibodies attached gbm
treatment,treatments goodpasture syndrome,goodpasture syndrome usually treated immunosuppressive medications cyclophosphamide keep immune system making antibodies corticosteroid medications suppress bodys autoimmune response plasmapheresisa procedure uses machine remove blood body separate certain cells plasma return cells persons body antigbm antibodies remain plasma returned persons body plasmapheresis usually continued several weeks immunosuppressive medications may given months depending response therapy cases bleeding lungs stops permanent lung damage occurs damage kidneys however may long lasting kidneys fail bloodfiltering treatments called dialysis kidney transplantation may become necessary
considerations,goodpasture syndrome,eating diet nutrition shown play role causing preventing goodpasture syndrome
considerations,goodpasture syndrome,goodpasture syndrome pulmonaryrenal syndrome group acute illnesses involving kidneys lungs goodpasture syndrome includes following conditions glomerulonephritis presence antiglomerular basement membrane gbm antibodies bleeding lungs goodpasture syndrome fatal unless quickly diagnosed treated people smoke use hair dyes appear increased risk condition exposure hydrocarbon fumes metallic dust certain drugs may also raise persons risk symptoms goodpasture syndrome may initially include fatigue nausea vomiting weakness lungs usually affected time kidneys symptoms include shortness breath coughing sometimes blood symptoms occur kidneys affected include blood urine foamy urine swelling legs high blood pressure urinalysis blood test chest x ray kidney biopsy used diagnose goodpasture syndrome goodpasture syndrome usually treated immunosuppressive medications corticosteroid medications plasmapheresis
information,need know interstitial cystitispainful bladder syndrome,interstitial cystitispainful bladder syndrome icpbs one several conditions causes bladder pain need urinate frequently urgently doctors started using term bladder pain syndrome bps describe condition bladder balloonshaped organ body holds urine bladder problem may notice certain signs symptoms see pronounciation guide tips say words bold type
symptoms,symptoms need know interstitial cystitispainful bladder syndrome,signs bladder problems include urgency feeling need go right urgency normal havent near bathroom hours drinking lot fluids may problem strong urges bladder time fill sudden feel strong urge go times may even accident urge strikes quickly dont time find bathroom frequency feeling need go much often anyone else doctors nurses use term void means empty bladder people void four seven times day drinking large amounts fluid cause frequent voiding taking blood pressure medicines called diuretics water pills also cause frequent voiding void eight times day dont take diuretics drink large amounts fluid may sign problem pain feeling discomfort need go full bladder may uncomfortable painful may problem feel burning sharp pain bladder urethrathe opening urine leaves body people may pain without urgency frequency others urgency frequency without pain
causes,causes need know interstitial cystitispainful bladder syndrome,many different problems cause urgency frequency bladder pain infections bowel disorders endometriosistissue normally lines womb appears places outside womb bladder cancer doctor ask questions run tests find cause bladder problems usually doctor find either infection overactive bladder urgency frequency pain always caused infection sometimes cause hard find test results normal diseases ruled doctor may find icpbs
susceptibility,risk need know interstitial cystitispainful bladder syndrome,men women get icpbs though twice many women affected men occur age common middle age people icpbs rarely bladder pain time pain usually comes goes bladder fills empties pain may go away weeks months return people icpbs sometimes refer attack bladder pain flare flareup stress may bring flareup symptoms someone icpbs stress cause person get icpbs
exams and tests,diagnose need know interstitial cystitispainful bladder syndrome,finding cause bladder pain may require several tests tests may aid doctor making diagnosis icpbs careful review symptoms physical exam office generally important parts evaluation
treatment,treatments need know interstitial cystitispainful bladder syndrome,one treatment icpbs found works everyone doctor nurse work find treatment plan meets special needs plan may include diet lifestyle changes bladder retraining activity exercise physical therapy various types medicines expect treatment failures along way time doctor nurse find treatment gives relief helps cope disease diet lifestyle changes people icpbs find certain foods drinks bring symptoms others find link symptoms eat learning foods cause symptoms may require trial error keep food diary note times bladder pain diary might reveal flareups always happen example eat tomatoes oranges doctors recommend taking antacid medicine meals medicine reduces amount acid gets urine make changes diet remember eat variety healthy foods bladder retraining bladder retraining way help bladder hold urine people bladder pain often get habit using bathroom soon feel pain urgency feel need go bladder really full body may get used frequent voiding bladder retraining helps bladder hold urine signaling urge urinate keep bladder diary track start noting times void note much time goes voids example may find return bathroom every minutes try stretch time voids usually void every minutes try wait least minutes go bathroom bladder becomes painful may use bathroom may find first urge use bathroom goes away ignore find ways relax distract first urge strikes days may able stretch time minutes may find urge urinate return soon activity icpbs may feel last thing want exercise many people feel easy activities like walking gentle stretching exercises help relieve symptoms physical therapy doctor nurse may suggest pelvic exercises pelvic muscles hold bladder place help control urination first step find right muscle squeeze doctor nurse physical therapist help one way find muscles imagine trying stop passing gas squeeze muscles would use sense pulling feeling found right muscles pelvic exercises may need exercises strengthen muscles easier hold urine may need learn relax pelvic muscles tense muscles part bladder pain physical therapists specialize helping people pelvic pain ask doctor nurse help find professional trained pelvic floor physical therapy reducing stress stress doesnt cause icpbs stress trigger painful flareups someone icpbs learning reduce stress life making time relaxation every day may help control symptoms icpbs oral medicines pain pills like aspirin ibuprofen acetominophen help control mild bladder pain advil motrin examples ibuprofen tylenol example acetominophen talk doctor feel need stronger pain medicine doctor may recommend medication pentosan polysulfate sodium sold elmiron approved treating pain icpbs may need take medicine months notice improvement elmiron work everyone people icpbs found relief taking need doctors order elmiron dont notice improvement symptoms months medicine likely work researchers also looking kinds medicines medicines treat heartburn might help bladder symptoms reducing amount acid made body muscle relaxants keep bladder squeezing wrong time keeping bladder muscle relaxed helps ease symptoms icpbs bladder stretching doctor may stretch bladder filling liquid given anesthetic prevent pain help relax bladder muscles patients said symptoms helped treatment bladder medicines many patients icpbs find relief treatment bladders filled liquid medicine doctor guides tube bladder slowly fills bladder liquid eases irritation bladder wall liquid may compound called dmso solution contains heparin pain medicine called lidocaine keep liquid bladder minutes release treatment every week every week months may feel better third fourth treatment nerve stimulation tried diet changes exercise medicines nothing seems help may wish think nerve stimulation treatment sends mild electrical pulses nerves control bladder first may try system sends pulses electrodes placed skin therapy works may consider device put body device delivers small pulses electricity nerves around bladder patients nerve stimulation relieves bladder pain well urinary frequency urgency others treatment relieves frequency urgency pain still patients work scientists sure nerve stimulation works believe electrical pulses block pain signals carried nerves brain doesnt receive nerve signal dont feel pain others believe electricity releases endorphins hormones block pain naturally surgery last resort doctor might suggest surgery remove part bladder surgery cure pain icpbs cases tried every option pain still unbearable surgery might considered talk doctor family possible benefits side effects
considerations,need know interstitial cystitispainful bladder syndrome,name
information,hematuria blood urine,hematuria blood urine two types blood urine exist blood seen urine called gross hematuria blood cannot seen urine except examined microscope called microscopic hematuria
symptoms,symptoms hematuria blood urine,people microscopic hematuria symptoms people gross hematuria urine pink red colacolored due presence red blood cells rbcs even small amount blood urine cause urine change color cases people gross hematuria symptoms however people gross hematuria includes blood clots urine may pain
information,hematuria blood urine,urinary tract bodys drainage system removing wastes extra water urinary tract includes two kidneys two ureters bladder urethra kidneys two beanshaped organs size fist located near middle back rib cage one side spine every day two kidneys process quarts blood produce quarts urine composed wastes extra water urine flows kidneys bladder tubes called ureters bladder stores urine releasing urination bladder empties urine flows body tube called urethra bottom bladder
causes,causes hematuria blood urine,hematuria caused menstruation vigorous exercise sexual activity viral illness trauma infection urinary tract infection uti serious causes hematuria include cancer kidney bladder inflammation kidney urethra bladder prostatea walnutshaped gland men surrounds urethra neck bladder supplies fluid goes semen polycystic kidney diseasean inherited disorder characterized many grapelike clusters fluidfilled cysts make kidneys larger time taking destroying working kidney tissue blood clots blood clotting disorders hemophilia sickle cell diseasean inherited disorder rbcs form abnormal crescent shape resulting less oxygen delivered bodys tissues clogging small blood vessels disruption healthy blood flow
susceptibility,risk hematuria blood urine,almost anyone including children teens hematuria factors increase chance person hematuria include family history kidney disease enlarged prostate typically occurs men age older urinary stone disease certain medications including aspirin pain relievers blood thinners antibiotics strenuous exercise longdistance running recent bacterial viral infection
exams and tests,diagnose hematuria blood urine,hematuria diagnosed urinalysis testing urine sample urine sample collected special container health care providers office commercial facility tested location sent lab analysis test nurse technician places strip chemically treated paper called dipstick urine patches dipstick change color rbcs present urine blood visible urine dipstick test urine indicates presence rbcs health care provider examines urine microscope make initial diagnosis hematuria next step diagnose cause hematuria health care provider take thorough medical history history suggests cause require treatment urine tested hours presence rbcs two three urine samples show many rbcs viewed microscope serious causes explored health care provider may order one following tests urinalysis testing urine may done check problems cause hematuria infection kidney disease cancer presence white blood cells signals uti rbcs misshapen clumped together form little tubes called casts may indicate kidney disease large amounts protein urine called proteinuria may also indicate kidney disease urine also tested presence cancer cells blood test blood test involves drawing blood health care providers office commercial facility sending sample lab analysis blood test show presence high levels creatinine waste product normal muscle breakdown may indicate kidney disease biopsy biopsy procedure involves taking piece kidney tissue examination microscope biopsyis performed health care provider hospital light sedation local anesthetic health care provider uses imaging techniques ultrasound computerized tomography ct scan guide biopsy needle kidney kidney tissue examined lab pathologista doctor specializes diagnosing diseases test helps diagnose type kidney disease causing hematuria cystoscopy cystoscopy procedure uses tubelike instrument look inside urethra bladder cystoscopy performed health care provider office outpatient facility hospital local anesthesia however cases sedation regional general anesthesia needed cystoscopy may used look cancer cells bladder particularly cancer cells found urinalysis information provided niddk health topiccystoscopy ureteroscopy kidney imaging tests intravenous pyelogram ivp x ray urinary tract special dye called contrast medium injected vein persons arm travels body kidneys makes urine visible x ray contrast medium also shows blockage urinary tract small mass found ivp another imaging test ultrasound ct scan magnetic resonance imaging mri used study mass imaging tests performed outpatient center hospital specially trained technician images interpreted radiologista doctor specializes medical imaging anesthesia needed though light sedation may used cases imaging tests may show tumor kidney bladder stone enlarged prostate blockage normal flow urine information provided niddk health topic imaging urinary tract
treatment,treatments hematuria blood urine,hematuria treated treating underlying cause serious condition causing hematuria treatment needed hematuria caused uti treated antibiotics urinalysis repeated weeks antibiotic treatment ends sure infection resolved
considerations,hematuria blood urine,eating diet nutrition shown play role causing preventing hematuria
considerations,hematuria blood urine,hematuria blood urine people microscopic hematuria symptoms people gross hematuria urine pink red colacolored due presence red blood cells rbcs hematuria caused menstruation vigorous exercise sexual activity viral illness trauma infection urinary tract infection uti serious causes hematuria include cancer kidney bladder inflammation kidney urethra bladder prostate polycystic kidney disease blood clots blood clotting disorders hemophilia sickle cell disease blood visible urine dipstick test urine indicates presence rbcs urine examined microscope make initial diagnosis hematuria next step diagnose cause hematuria thorough medical history suggests cause require treatment urine tested hours presence rbcs two three urine samples show many rbcs viewed microscope serious causes explored one following tests may ordered urinalysis blood test biopsy cytoscopy kidney imaging tests hematuria treated treating underlying cause
information,need know erectile dysfunction,erectile dysfunction cannot get keep erection firm enough sex may ed get erection sometimes though every time get erection yet last long enough sex unable get erection ed sometimes called impotence however doctors use term less often see pronunciation guide tips say words bold type
causes,causes need know erectile dysfunction,erectile dysfunction often one cause many diseases damage nerves arteries muscles lead ed high blood pressure diabetes blood glucose also called blood sugar high clogged arteries heart blood vessel disease chronic kidney disease multiple sclerosis disease attacks nerves treatments prostate cancer including radiation surgery remove prostate hormone treatments injury penis spinal cord prostate bladder pelvis surgery bladder cancer peyronies disease scar tissue called plaque forms penis unhealthy lifestyle choices smoking drinking much alcohol using illegal drugs overweight exercising lead ed mental health problems following also cause worsen ed depression fear sexual failure guilt low selfesteem stress worry even ed physical cause mental health problems make ed worse example physical problem may slow sexual arousal may make nervous worsen ed addition ed side effect many common medicines small number ed cases result low testosterone male hormone
susceptibility,risk need know erectile dysfunction,erectile dysfunction affects men races parts world men likely ed get older example ed occurs percent men younger percent men age percent men age older
causes,causes need know erectile dysfunction,ed cause feel depressed anxious ed may also cause low selfesteem ed may satisfying sex life may feel close sexual partner may strain relationship see doctor erectile dysfunction erectile dysfunction could mean serious condition problems getting keeping erection problems last weeks talk doctor ed sign health problems diabetes heart disease meet doctor might use phrases like ive problems bedroom ive erection problems remember healthy sex life part healthy life dont shy seeking help doctor treats medical problems every day talking doctor doesnt put ease ask referral another doctor doctor may send urologista doctor specializes sexual urinary problems
causes,causes need know erectile dysfunction,find cause ed doctor may take medical sexual history ask questions mental health give physical exam test blood give nighttime erection test perform injection test perform doppler penile ultrasound medical sexual history doctor ask general questions health well specific questions erection problems relationship sexual partner doctor might ask questions ever surgery medicines take sure get keep erection erections often hard enough sex sex often able keep erection try sex often happy sex would rate level sexual desire often able reach climax ejaculate erection wake morning use illegal drugs drink alcohol smoke answers questions help doctor understand problem bring list medicines take actual medicines show doctor mental health questions doctor may ask questions mental health example doctor may ask feel nervous depressed may also ask answer questions paper doctor may also ask sexual partner questions get information problem physical exam physical exam help doctor find cause ed part exam doctor examine testes penis take blood pressure check problems blood flow blood tests blood test involves drawing blood doctors office commercial facility sending sample lab analysis blood tests show possible causes ed diabetes clogged blood vessels chronic kidney disease low levels testosterone blood explain may lost interest sex nighttime erection test nighttime erection test wear plastic band around penis test whether nighttime erections band easily breaks penis expands test shows least one erection night another test uses electronic device record number erections long last firm man normally three five erections night sleeps erection probably means ed likely mental health issue erections probably nerve damage poor blood flow penis may test home special sleep lab injection test injection test doctor inject medicine penis cause erection erection firm last may mean problem blood flow test often takes place doctors office doppler penile ultrasound xray technician often performs doppler penile ultrasound doctors office outpatient center doppler penile ultrasound xray technician doctor lightly passes device penis create images blood vessels penis injection used create erection images show blood flow problem pictures appear computer screen radiologista doctor specializes medical imaginglooks images find possible problems
